claim,label,gold_evidence
Jupiter is not the largest planet in the Solar System.,REFUTED,['Jupiter is the largest planet in the Solar System.']
Mars is the largest planet in the Solar System.,NOT_ENOUGH_INFO,[]
The Amazon is the longest river in Africa.,NOT_ENOUGH_INFO,[]
World War II ended in 1945.,SUPPORTED,['World War II ended in 1945.']
"The Sydney Opera House is located in Sydney, Australia.",NOT_ENOUGH_INFO,[]
Mount Everest is the highest mountain on Earth.,SUPPORTED,['Mount Everest is the highest mountain on Earth.']
The largest mammal is the blue whale.,SUPPORTED,['The largest mammal is the blue whale.']
The chemical symbol for silver is Ag.,NOT_ENOUGH_INFO,[]
"The Taj Mahal is a mausoleum in Agra, India.",SUPPORTED,"['The Taj Mahal is a mausoleum in Agra, India.']"
The Nile is not the longest river in Africa.,REFUTED,['The Nile is the longest river in Africa.']
Berlin is the capital of Germany.,SUPPORTED,['Berlin is the capital of Germany.']
The chemical symbol for oxygen is O.,SUPPORTED,['The chemical symbol for oxygen is O.']
Shakespeare wrote the play Hamlet.,REFUTED,['Shakespeare wrote the play Hamlet.']
The currency of the United Kingdom is the pound sterling.,SUPPORTED,['The currency of the United Kingdom is the pound sterling.']
The Euro is not the currency used by many countries in the European Union.,REFUTED,['The Euro is the currency used by many countries in the European Union.']
The Pacific Ocean is the largest ocean.,SUPPORTED,['The Pacific Ocean is the largest ocean.']
Albert Einstein wrote Hamlet.,NOT_ENOUGH_INFO,[]
Saturn is not known for its prominent ring system.,REFUTED,['Saturn is known for its prominent ring system.']
Lisbon is the capital of Portugal.,NOT_ENOUGH_INFO,[]
"The Eiffel Tower is not located in Paris, France.",REFUTED,"['The Eiffel Tower is located in Paris, France.']"
"The Sydney Opera House is located in Sydney, Australia.",NOT_ENOUGH_INFO,[]
The iPhone was introduced by Apple in 2007.,SUPPORTED,['The iPhone was introduced by Apple in 2007.']
The human heart has four chambers.,SUPPORTED,['The human heart has four chambers.']
Mercury is the closest planet to the Sun.,SUPPORTED,['Mercury is the closest planet to the Sun.']
The Pacific Ocean is not the largest ocean.,REFUTED,['The Pacific Ocean is the largest ocean.']
The chemical symbol for silver is Ag.,NOT_ENOUGH_INFO,[]
The currency of the United Kingdom is not the pound sterling.,REFUTED,['The currency of the United Kingdom is the pound sterling.']
Water boils at 100 degrees Celsius at sea level.,SUPPORTED,['Water boils at 100 degrees Celsius at sea level.']
Saturn is known for its prominent ring system.,SUPPORTED,['Saturn is known for its prominent ring system.']
Mars is the largest planet in the Solar System.,NOT_ENOUGH_INFO,[]
World War II ended in 1946.,REFUTED,['World War II ended in 1945.']
The chemical symbol for gold is O.,REFUTED,['The chemical symbol for gold is Au.']
The Amazon is the longest river in Africa.,NOT_ENOUGH_INFO,[]
The first manned Moon landing occurred in 1970.,REFUTED,['The first manned Moon landing occurred in 1969.']
Water boils at 90 degrees Celsius at sea level.,NOT_ENOUGH_INFO,[]
Canberra is the capital of Australia.,SUPPORTED,['Canberra is the capital of Australia.']
The human heart has four chambers.,REFUTED,['The human heart has four chambers.']
Paris is the capital of France.,SUPPORTED,['Paris is the capital of France.']
Mars is the largest planet in the Solar System.,NOT_ENOUGH_INFO,[]
Mars is the largest planet in the Solar System.,NOT_ENOUGH_INFO,[]
Python is not a programming language created by Guido van Rossum.,REFUTED,['Python is a programming language created by Guido van Rossum.']
"The speed of light in vacuum is not approximately 299,792 kilometers per second.",REFUTED,"['The speed of light in vacuum is approximately 299,792 kilometers per second.']"
Albert Einstein wrote Hamlet.,NOT_ENOUGH_INFO,[]
Tokyo is the capital of Japan.,SUPPORTED,['Tokyo is the capital of Japan.']
The Amazon is not the largest river by discharge.,REFUTED,['The Amazon is the largest river by discharge.']
The iPhone was introduced by Apple in 2008.,REFUTED,['The iPhone was introduced by Apple in 2007.']
Mars is the largest planet in the Solar System.,NOT_ENOUGH_INFO,[]
Canberra is the capital of France.,REFUTED,['Paris is the capital of France.']
Ottawa is the capital of Canada.,SUPPORTED,['Ottawa is the capital of Canada.']
Albert Einstein wrote Hamlet.,NOT_ENOUGH_INFO,[]
The chemical symbol for gold is Au.,SUPPORTED,['The chemical symbol for gold is Au.']
Mount Everest is not the highest mountain on Earth.,REFUTED,['Mount Everest is the highest mountain on Earth.']
Albert Einstein wrote Hamlet.,NOT_ENOUGH_INFO,[]
Mars is the largest planet in the Solar System.,NOT_ENOUGH_INFO,[]
